1268548552579584004,1074659674878693376,218,242,0,2809,2823
1268548552705400835,818847014087720961,859,858,2,40456,44181
1268548553401606146,291585178,8,4,4,3,10375
1268548553611317248,884130724084723712,21,367,0,2241,377
1268548553711943680,1089965627824066560,6051,5263,71,58993,33293
1268548554404003841,1161052972282994690,921,1277,8,12812,4698
1268548554957733894,1216534220031397888,36,122,0,2480,387
1268548555570061313,872018796780945408,47,163,0,1044,377
1268548556434083843,235488627,371,909,8,29955,23204
1268548557772140552,2906698521,51,105,0,267,143
1268548557910540289,1247592665622827008,337,337,5,839,14231
1268548558237634564,4393554028,3593,125,4,10,35571
1268548558480908289,1155132848980013057,33,119,0,35411,12351
1268548558631964678,1266430020165263368,3,45,0,56,255
1268548558879416322,937712501340254209,6215,4484,0,140475,538677
1268548559797997570,1109932475910942720,5,2,0,12,3465
1268548561630720000,1151107490039369729,3852,144,11,31,2169
1268548563312705540,170518308,1793,1188,3,306055,72823
1268548563371528194,2760836442,1144,2502,16,28888,142764
1268548563136655366,818144084841955329,275,393,6,17165,8238
1268548564029931524,1240682687129686018,137,323,1,1965,929
1268548564231294976,954048821817954306,829,370,1,30675,27733
1268548564571095041,1052268159460302848,442,747,4,28445,3977
1268548565011488776,787037816962285569,7304,8014,1,29565,36367
1268548564860403713,1130275279178424320,462,284,1,4322,3626
1268548565074350083,481721581,160,194,1,486,2974
1268548565565091843,1250837205058125824,1,43,0,29,32
1268548557331746816,1220151422169178113,0,56,0,0,816
1268548567444176896,44083212,612,448,2,16,4176
1268548567813275649,937712501340254209,6215,4484,0,140475,538678
1268548547294699523,909080703463124992,329,724,9,19176,10680
1268548568052367363,1254341557957693441,40,35,0,1332,408
1268548564420038656,94478866,117,349,2,237,1789
1268548565351256064,1257811195668639746,156,146,6,532,2261
1268548569272856585,1202984430718963713,10,52,0,223,69
1268548569654493188,716103655,286,380,0,1600,743
1268548569881030659,500197319,1062,422,1,8188,72545
1268548549979013121,809512063412228096,9,9,1,0,226664
1268548570422132742,1160727350,191,124,1,1332,3204
